"PlantID","Genotype","Treatment","FW"
"1121KN172","Beatrix","stress",64.4
"1121KN173","Beatrix","stress",72
"1121KN174","Beatrix","stress",75.1
"1121KN175","Beatrix","stress",71.3
"1121KN176","Beatrix","stress",69.6
"1121KN177","Beatrix","stress",69.9
"1121KN178","Beatrix","stress",77
"1121KN179","Beatrix","stress",74.7
"1121KN180","Beatrix","stress",70.1
"1121KN181","Djamilia","control",115.3
"1121KN182","Djamilia","control",106.4
"1121KN183","Djamilia","control",110.5
"1121KN184","Djamilia","control",108.3
"1121KN185","Djamilia","control",117.2
"1121KN186","Djamilia","control",99.2
"1121KN187","Djamilia","control",74.4
"1121KN188","Djamilia","control",92
"1121KN189","Djamilia","control",107.4
"1121KN190","Djamilia","stress",67.1
"1121KN191","Djamilia","stress",66.4
"1121KN192","Djamilia","stress",64.8
"1121KN193","Djamilia","stress",70.1
"1121KN194","Djamilia","stress",62.3
"1121KN195","Djamilia","stress",65.2
"1121KN196","Djamilia","stress",64.3
"1121KN197","Djamilia","stress",67.6
"1121KN198","Djamilia","stress",59.7
"1121KN199","Eunova","control",90.5
"1121KN200","Eunova","control",91.7
"1121KN201","Eunova","control",91
"1121KN202","Eunova","control",75.9
"1121KN203","Eunova","control",93
"1121KN204","Eunova","control",95.3
"1121KN205","Eunova","control",85.5
"1121KN206","Eunova","control",89.5
"1121KN207","Eunova","control",103.1
"1121KN208","Eunova","stress",52.6
"1121KN209","Eunova","stress",59.2
"1121KN210","Eunova","stress",55.8
"1121KN211","Eunova","stress",49.3
"1121KN212","Eunova","stress",48.5
"1121KN213","Eunova","stress",45.3
"1121KN214","Eunova","stress",46.5
"1121KN215","Eunova","stress",49.2
"1121KN216","Eunova","stress",46.8
"1121KN217","Streif","control",127.3
"1121KN218","Streif","control",113.4
"1121KN219","Streif","control",109.6
"1121KN220","Streif","control",125.8
"1121KN221","Streif","control",131.1
"1121KN222","Streif","control",112.2
"1121KN223","Streif","control",131.3
"1121KN224","Streif","control",120.1
"1121KN225","Streif","control",123.6
"1121KN226","Streif","stress",59
"1121KN227","Streif","stress",65.2
"1121KN228","Streif","stress",71.2
"1121KN229","Streif","stress",72.9
"1121KN230","Streif","stress",76.4
"1121KN231","Streif","stress",77.2
"1121KN232","Streif","stress",71.9
"1121KN233","Streif","stress",73.1
"1121KN234","Streif","stress",72
"1121KN235","Ursa","control",118.5
"1121KN236","Ursa","control",110.6
"1121KN237","Ursa","control",101.8
"1121KN238","Ursa","control",74.1
"1121KN239","Ursa","control",98.7
"1121KN240","Ursa","control",105.4
"1121KN241","Ursa","control",93.7
"1121KN242","Ursa","control",113.1
"1121KN243","Ursa","control",92
"1121KN244","Ursa","stress",75.2
"1121KN245","Ursa","stress",75.2
"1121KN246","Ursa","stress",61.2
"1121KN247","Ursa","stress",73.8
"1121KN248","Ursa","stress",70.9
"1121KN249","Ursa","stress",68.2
"1121KN250","Ursa","stress",72.7
"1121KN251","Ursa","stress",61.7
"1121KN252","Ursa","stress",62.6
"1121KN253","Victoriana","control",118.3
"1121KN254","Victoriana","control",119.5
"1121KN255","Victoriana","control",110.6
"1121KN256","Victoriana","control",110.2
"1121KN257","Victoriana","control",74.5
