"PlantID","Genotype","Treatment","FW"
"1137KN122","Intensiv","stress",81.55
"1137KN123","Intensiv","stress",82.63
"1137KN124","Intensiv","stress",81.69
"1137KN125","Intensiv","stress",82.89
"1137KN126","Intensiv","stress",74.78
"1137KN127","Bavaria","control",112.54
"1137KN128","Bavaria","control",110.89
"1137KN129","Bavaria","control",115.61
"1137KN130","Bavaria","control",110.97
"1137KN131","Bavaria","control",92.82
"1137KN132","Bavaria","control",106.32
"1137KN133","Bavaria","control",117.82
"1137KN134","Bavaria","control",116.54
"1137KN135","Bavaria","control",122.96
"1137KN136","Bavaria","stress",77.39
"1137KN137","Bavaria","stress",71.68
"1137KN138","Bavaria","stress",75.79
"1137KN139","Bavaria","stress",75.02
"1137KN140","Bavaria","stress",75.69
"1137KN141","Bavaria","stress",76.83
"1137KN142","Bavaria","stress",75.56
"1137KN143","Bavaria","stress",74.29
"1137KN144","Bavaria","stress",74.14
"1137KN145","BarkeCS","control",130.54
"1137KN146","BarkeCS","control",124.07
"1137KN147","BarkeCS","control",131.88
"1137KN148","BarkeCS","control",127.3
"1137KN149","BarkeCS","control",129.49
"1137KN150","BarkeCS","control",119.43
"1137KN151","BarkeCS","control",128.89
"1137KN152","BarkeCS","control",115.93
"1137KN153","BarkeCS","control",133.33
"1137KN154","BarkeCS","stress",85.82
"1137KN155","BarkeCS","stress",85.24
"1137KN156","BarkeCS","stress",84.76
"1137KN157","BarkeCS","stress",83.66
"1137KN158","BarkeCS","stress",76.1
"1137KN159","BarkeCS","stress",83.61
"1137KN160","BarkeCS","stress",80.51
"1137KN161","BarkeCS","stress",82.28
"1137KN162","BarkeCS","stress",82.81
"1137KN163","Beatrix","control",120.45
"1137KN164","Beatrix","control",123.53
"1137KN165","Beatrix","control",120.73
"1137KN166","Beatrix","control",127.66
"1137KN167","Beatrix","control",112.2
"1137KN168","Beatrix","control",126.73
"1137KN169","Beatrix","control",117.52
"1137KN170","Beatrix","control",122.84
"1137KN171","Beatrix","control",126.7
"1137KN172","Beatrix","stress",85.49
"1137KN173","Beatrix","stress",87.15
"1137KN174","Beatrix","stress",87.14
"1137KN175","Beatrix","stress",90.23
"1137KN176","Beatrix","stress",87.63
"1137KN177","Beatrix","stress",84.86
"1137KN178","Beatrix","stress",84.05
"1137KN179","Beatrix","stress",85.47
"1137KN180","Beatrix","stress",88.29
"1137KN181","Djamilia","control",89.46
"1137KN182","Djamilia","control",98.13
"1137KN183","Djamilia","control",105.01
"1137KN184","Djamilia","control",101.31
"1137KN185","Djamilia","control",108.7
"1137KN186","Djamilia","control",107.96
"1137KN187","Djamilia","control",114.67
"1137KN188","Djamilia","control",105.39
"1137KN189","Djamilia","control",103.17
"1137KN190","Djamilia","stress",63.56
"1137KN191","Djamilia","stress",71.87
"1137KN192","Djamilia","stress",61.66
"1137KN193","Djamilia","stress",63.27
"1137KN194","Djamilia","stress",67.6
"1137KN195","Djamilia","stress",64.4
"1137KN196","Djamilia","stress",72.51
"1137KN197","Djamilia","stress",74.59
"1137KN198","Djamilia","stress",68.07
"1137KN199","Eunova","control",110.37
"1137KN200","Eunova","control",105.89
"1137KN201","Eunova","control",104.23
"1137KN202","Eunova","control",101.24
"1137KN203","Eunova","control",108.3
"1137KN204","Eunova","control",103.19
"1137KN205","Eunova","control",105.15
"1137KN206","Eunova","control",94.19
"1137KN207","Eunova","control",87.61
"1137KN208","Eunova","stress",62.67
"1137KN209","Eunova","stress",66.07
"1137KN210","Eunova","stress",62.09
"1137KN211","Eunova","stress",63.82
"1137KN212","Eunova","stress",62.87
"1137KN213","Eunova","stress",64.72
"1137KN214","Eunova","stress",65.52
"1137KN215","Eunova","stress",67.76
"1137KN216","Eunova","stress",61.68
"1137KN217","Streif","control",127.43
"1137KN218","Streif","control",104.1
"1137KN219","Streif","control",134.39
"1137KN220","Streif","control",125.68
"1137KN221","Streif","control",123.84
"1137KN222","Streif","control",128.04
"1137KN223","Streif","control",128.08
"1137KN224","Streif","control",124.03
"1137KN225","Streif","control",123.03
"1137KN226","Streif","stress",84.16
"1137KN227","Streif","stress",83.46
"1137KN228","Streif","stress",88.61
"1137KN229","Streif","stress",89.79
"1137KN230","Streif","stress",85.71
"1137KN231","Streif","stress",87.56
"1137KN232","Streif","stress",80.78
"1137KN233","Streif","stress",90.19
"1137KN234","Streif","stress",83.28
"1137KN235","Ursa","control",94.57
"1137KN236","Ursa","control",98.59
"1137KN237","Ursa","control",90.44
"1137KN238","Ursa","control",85.12
"1137KN239","Ursa","control",104.79
"1137KN240","Ursa","control",102.97
"1137KN241","Ursa","control",99.1
"1137KN242","Ursa","control",82.68
"1137KN243","Ursa","control",97.55
"1137KN244","Ursa","stress",70.59
"1137KN245","Ursa","stress",69.03
"1137KN246","Ursa","stress",74.63
"1137KN247","Ursa","stress",75.18
"1137KN248","Ursa","stress",72.71
"1137KN249","Ursa","stress",66.97
"1137KN250","Ursa","stress",74.1
"1137KN251","Ursa","stress",75.83
"1137KN252","Ursa","stress",73.14
"1137KN253","Victoriana","control",116.69
"1137KN254","Victoriana","control",128.77
"1137KN255","Victoriana","control",124.81
"1137KN256","Victoriana","control",124.67
"1137KN257","Victoriana","control",108.9
"1137KN258","Victoriana","control",113.99
"1137KN259","Victoriana","control",99.17
"1137KN260","Victoriana","control",111.13
"1137KN261","Victoriana","control",109.95
"1137KN262","Victoriana","stress",80.12
"1137KN263","Victoriana","stress",76.97
"1137KN264","Victoriana","stress",78.23
"1137KN265","Victoriana","stress",75.79
"1137KN266","Victoriana","stress",80.85
"1137KN267","Victoriana","stress",84.37
"1137KN268","Victoriana","stress",76.96
"1137KN269","Victoriana","stress",79.36
"1137KN270","Victoriana","stress",78.58
"1137KN271","Wiebke","control",117.63
"1137KN272","Wiebke","control",115.75
"1137KN273","Wiebke","control",117.59
"1137KN274","Wiebke","control",126.6
"1137KN275","Wiebke","control",121.86
"1137KN276","Wiebke","control",118.56
"1137KN277","Wiebke","control",98.51
"1137KN278","Wiebke","control",118.18
"1137KN279","Wiebke","control",120.59
"1137KN280","Wiebke","stress",79.46
"1137KN281","Wiebke","stress",78.87
"1137KN282","Wiebke","stress",81.85
"1137KN283","Wiebke","stress",82.99
"1137KN284","Wiebke","stress",65.43
"1137KN285","Wiebke","stress",76.76
"1137KN286","Wiebke","stress",80.05
"1137KN287","Wiebke","stress",83.88
"1137KN288","Wiebke","stress",76.17
"1137KN289","MorexDH","control",125.5
"1137KN290","MorexDH","control",122.86
"1137KN291","MorexDH","control",122.76
"1137KN292","MorexDH","control",115.1
"1137KN293","MorexDH","control",88.6
"1137KN294","MorexDH","control",117.87
"1137KN295","MorexDH","stress",72.69
"1137KN296","MorexDH","stress",83.52
"1137KN297","MorexDH","stress",77.93
"1137KN298","MorexDH","stress",74.85
"1137KN299","MorexDH","stress",74.59
"1137KN300","MorexDH","stress",73.42
"1137KN301","BarkeDH","control",120.55
"1137KN302","BarkeDH","control",128.14
"1137KN303","BarkeDH","control",125.26
"1137KN304","BarkeDH","control",129.17
"1137KN305","BarkeDH","control",103.07
"1137KN306","BarkeDH","control",109.27
"1137KN307","BarkeDH","stress",83.59
"1137KN308","BarkeDH","stress",78.4
"1137KN309","BarkeDH","stress",86.49
"1137KN310","BarkeDH","stress",84.54
"1137KN311","BarkeDH","stress",83.01
"1137KN312","BarkeDH","stress",72.94
